Дата поста (UTC),Время поста,Количество лайков
2023-09-16,04:31:00,60
2024-09-22,09:09:50,28
2024-09-21,05:00:31,21
2024-09-19,09:15:00,27
2024-09-18,07:00:01,19
2024-09-17,08:32:00,83
2024-09-16,17:02:37,42
2024-09-16,14:13:10,26
2024-09-16,11:30:00,59
2024-09-16,05:27:16,20
2024-09-14,16:07:41,27
2024-09-14,04:53:52,12
2024-09-12,08:58:52,24
2024-09-11,16:31:00,61
2024-09-11,09:34:10,18
2024-09-10,08:40:59,46
2024-09-09,15:29:01,34
2024-09-08,07:07:00,28
2024-09-07,07:33:00,34
2024-09-06,09:36:52,13
2024-09-05,11:15:00,59
2024-09-05,07:33:00,16
2024-09-04,14:00:40,39
2024-09-03,07:59:00,20
2024-09-02,15:32:27,39
2024-09-02,08:46:47,20
2024-09-01,20:02:11,20
2024-09-01,13:15:00,32
2024-09-01,09:15:00,31
2024-09-01,06:15:00,35
2024-08-31,08:15:00,66
2024-08-30,12:30:00,69
2024-08-30,07:30:00,20
2024-08-29,17:52:09,26
2024-08-29,07:58:00,58
2024-08-28,14:29:03,40
2024-08-28,09:40:52,44
2024-08-27,09:45:00,18
2024-08-26,10:27:37,33
2024-08-26,05:14:49,25
2024-08-25,06:14:00,37
2024-08-24,17:02:41,45
2024-08-24,04:11:00,35
2024-08-23,14:23:21,25
2024-08-23,09:54:00,60
2024-08-23,04:46:54,41
2024-08-22,13:56:38,28
2024-08-21,13:46:59,54
2024-08-21,04:31:23,54
2024-08-21,02:07:00,26
2024-08-20,14:54:06,26
2024-08-20,10:21:00,45
2024-08-20,08:01:26,69
2024-08-20,04:30:55,45
2024-08-19,13:52:05,60
2024-08-18,08:39:48,29
2024-08-17,15:33:12,72
2024-08-17,05:08:00,20
2024-08-16,07:47:00,44
2024-08-15,14:03:12,19
2024-08-14,17:27:58,41
2024-08-14,12:20:00,42
2024-08-14,07:47:00,12
2024-08-13,14:48:51,26
2024-08-13,05:34:09,19
2024-08-12,16:08:26,35
2024-08-11,10:42:39,41
2024-08-10,11:07:15,50
2024-08-09,07:42:00,27
2024-08-08,11:41:00,43
2024-08-08,06:50:00,16
2024-08-07,07:41:00,22
2024-08-06,09:46:00,24
2024-08-05,16:00:52,44
2024-08-04,06:44:00,41
2024-08-03,15:24:56,45
2024-08-02,07:03:43,59
2024-08-01,06:00:00,23
2024-07-31,06:11:43,14
2024-07-30,07:20:00,29
2024-07-29,04:58:01,24
2024-07-28,08:07:17,25
2024-07-27,14:34:40,13
2024-07-27,11:33:00,31
2024-07-27,08:25:14,33
2024-07-26,18:38:48,81
2024-07-26,13:20:35,18
2024-07-26,05:09:38,41
2024-07-25,12:07:00,35
2024-07-25,06:27:59,18
2024-07-23,17:04:45,42
2024-07-22,11:00:01,36
2024-07-22,06:12:43,15
2024-07-21,07:58:18,88
2024-07-20,07:14:00,50
2024-07-19,16:09:34,35
2024-07-19,15:22:41,44
2024-07-19,06:49:51,76
2024-07-18,13:39:30,60
2024-07-18,10:23:24,26
2024-07-17,13:30:00,37
2024-07-17,04:40:00,27
2024-07-16,09:41:29,45
2024-07-15,08:31:13,28
2024-07-13,13:31:08,26
2024-07-13,04:20:42,30
2024-07-12,05:53:14,58
2024-07-10,13:41:39,69
2024-07-09,07:15:36,43
2024-07-08,07:54:31,40
2024-07-07,06:15:00,38
2024-07-06,08:15:00,44
2024-07-05,04:15:00,52
2024-07-04,16:39:25,54
2024-07-04,10:33:05,14
2024-07-01,09:39:50,52
2024-06-30,08:45:54,30
2024-06-30,06:11:15,26
2024-06-29,07:49:45,17
2024-06-27,15:19:46,24
2024-06-26,07:16:21,46
2024-06-23,16:27:49,27
2024-06-22,14:56:34,52
2024-06-22,08:03:45,76
2024-06-20,05:35:32,40
2024-06-19,08:54:00,49
2024-06-17,17:20:53,45
2024-06-17,09:47:57,29
2024-06-16,08:30:16,33
2024-06-15,17:04:16,49
2024-06-15,09:43:49,22
2024-06-13,05:25:56,44
2024-06-12,17:56:00,44
2024-06-12,06:29:17,27
2024-06-11,05:42:55,61
2024-06-10,06:09:52,33
2024-06-09,19:22:52,18
2024-06-09,07:49:57,53
2024-06-09,04:30:00,30
2024-06-06,17:08:10,112
2024-06-06,05:34:36,26
2024-06-05,17:45:52,42
2024-06-05,07:02:46,22
2024-06-04,06:30:01,30
2024-06-03,13:00:36,41
2024-06-03,10:09:05,51
2024-06-02,09:58:01,41
2024-06-01,19:48:04,20
2024-06-01,19:36:12,45
2024-06-01,10:19:46,36
2024-06-01,06:01:53,30
2024-05-31,18:01:24,44
2024-05-31,06:30:01,28
2024-05-30,10:12:00,54
2024-05-30,07:23:00,22
2024-05-30,06:12:19,20
2024-05-29,09:20:00,31
2024-05-29,07:15:00,30
2024-05-28,13:25:19,17
2024-05-28,10:30:00,28
2024-05-28,04:30:00,31
2024-05-27,10:15:00,54
2024-05-27,07:32:00,28
2024-05-26,12:29:00,32
2024-05-26,10:29:57,51
2024-05-26,07:44:47,31
2024-05-25,11:32:21,42
2024-05-25,05:54:09,38
2024-05-24,05:13:00,38
2024-05-23,10:11:58,30
2024-05-22,18:34:45,40
2024-05-22,06:40:43,54
2024-05-21,10:11:26,22
2024-05-20,09:30:00,20
2024-05-20,08:10:12,24
2024-05-19,17:36:05,26
2024-05-19,13:16:54,22
2024-05-19,07:34:22,28
2024-05-18,08:26:19,35
2024-05-17,16:47:41,21
2024-05-16,14:50:49,27
2024-05-16,04:23:00,34
2024-05-15,17:28:40,5
2024-05-15,17:23:24,23
2024-05-15,13:56:45,21
2024-05-15,06:51:18,11
2024-05-15,05:30:00,28
2024-05-14,23:30:00,34
2024-05-14,09:47:35,61
2024-05-13,11:01:18,19
2024-05-13,08:24:18,24
2024-05-12,17:41:28,36
2024-05-10,04:47:14,28
2024-05-09,11:00:02,55
2024-05-09,06:17:22,11
2024-05-07,14:25:35,28
2024-05-06,18:20:17,52
2024-05-06,06:27:24,24
2024-05-05,13:30:00,29
2024-05-05,11:30:00,27
2024-05-05,09:42:00,34
2024-05-05,08:35:49,26
2024-05-04,04:46:19,15
2024-05-03,18:28:52,19
2024-05-03,06:50:51,40
2024-05-02,14:53:21,21
2024-05-02,06:02:21,47
2024-05-01,17:12:19,36
2024-05-01,06:15:02,14
2024-04-30,11:41:10,47
2024-04-29,10:00:02,90
2024-04-29,05:04:53,68
2024-04-28,16:03:09,46
2024-04-28,09:00:03,24
2024-04-28,05:42:12,17
2024-04-27,09:17:04,81
2024-04-26,16:49:25,39
2024-04-26,06:37:12,73
2024-04-24,07:05:57,16
2024-04-23,15:47:41,45
2024-04-23,14:42:40,21
2024-04-23,06:20:30,29
2024-04-22,17:35:20,62
2024-04-22,12:35:00,72
2024-04-22,11:00:02,24
2024-04-22,06:45:16,19
2024-04-21,19:15:00,63
2024-04-21,15:46:29,38
2024-04-21,14:23:23,37
2024-04-21,11:01:33,30
2024-04-21,09:20:34,37
2024-04-20,13:58:18,60
2024-04-20,13:39:05,35
2024-04-20,11:10:38,34
2024-04-20,07:09:07,21
2024-04-19,13:11:21,20
2024-04-19,08:38:09,34
2024-04-19,06:33:51,73
2024-04-18,16:16:32,40
2024-04-18,08:44:21,45
2024-04-17,08:36:45,32
2024-04-16,05:29:10,61
2024-04-15,16:25:44,41
2024-04-15,09:42:13,8
2024-04-14,15:52:41,52
2024-04-14,14:48:26,80
2024-04-14,08:21:57,54
2024-04-14,05:52:19,53
2024-04-13,15:48:35,22
2024-04-13,04:51:23,34
2024-04-09,15:45:02,43
2024-04-09,08:33:58,25
2024-04-08,06:49:03,27
2024-04-07,15:21:42,43
2024-04-07,08:30:00,58
2024-04-06,07:30:00,30
2024-04-06,04:33:17,18
2024-04-04,15:40:07,19
2024-04-04,07:00:03,56
2024-04-03,18:09:12,38
2024-04-03,08:02:22,71
2024-04-02,05:18:12,14
2024-03-31,15:44:39,34
2024-03-30,08:50:49,86
2024-03-28,08:30:00,70
2024-03-27,08:30:00,92
2024-03-26,18:56:53,46
2024-03-25,11:30:00,37
2024-03-25,07:28:00,34
2024-03-24,08:12:31,23
2024-03-22,16:53:16,52
2024-03-22,08:30:00,74
2024-03-21,15:23:00,36
2024-03-21,04:46:50,15
